id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
212350097,2001,1,regular,2001-08-23T23:00:00.000Z,,false,false,38129,3873,Papa John's Cardinal Stadium,97,Louisville,Conference USA,45,,1623,1644,166,New Mexico State,Sun Belt,24,,1334,1313,,,
63770,2001,1,regular,2001-08-25T04:00:00.000Z,,false,,,,,158,Nebraska,Big 12,21,,1970,1982,2628,TCU,Conference USA,7,,1781,1769,,,
212370275,2001,1,regular,2001-08-25T18:00:00.000Z,,false,true,76740,347,Camp Randall Stadium,275,Wisconsin,Big Ten,26,,1699,1698,258,Virginia,ACC,17,,1454,1455,,,
212370252,2001,1,regular,2001-08-25T20:30:00.000Z,,false,true,40008,3801,LaVell Edwards Stadium,252,BYU,Mountain West,70,,1525,1613,2655,Tulane,Conference USA,35,,1446,1358,,,
212370201,2001,1,regular,2001-08-25T23:45:00.000Z,,false,false,75423,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,10,,1910,1901,153,North Carolina,ACC,0,,1513,1522,,,
212380183,2001,1,regular,2001-08-26T18:00:00.000Z,,false,false,41517,,,183,Syracuse,Big East,7,,1626,1621,59,Georgia Tech,ACC,13,,1709,1714,,,
212380038,2001,1,regular,2001-08-27T00:00:00.000Z,,false,false,47762,3726,Folsom Field,38,Colorado,Big 12,22,,1572,1569,278,Fresno State,Western Athletic,24,,1573,1576,,,
212422649,2001,2,regular,2001-08-30T23:00:00.000Z,,false,false,34950,3739,Glass Bowl,2649,Toledo,Mid-American,38,,1722,1792,135,Minnesota,Big Ten,7,,1610,1540,,,
212420218,2001,2,regular,2001-08-30T23:00:00.000Z,,false,false,26191,3730,Franklin Field,218,Temple,Big East,45,,1406,1435,2426,Navy,FBS Independents,26,,1260,1231,,,
212422006,2001,2,regular,2001-08-30T23:00:00.000Z,,false,true,13532,,,2006,Akron,Mid-American,31,,1467,1469,195,Ohio,Mid-American,29,,1561,1559,,,
212422117,2001,2,regular,2001-08-30T23:30:00.000Z,,false,false,18613,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,42,,,,2198,Eastern Kentucky,,28,,,,,,
212422711,2001,2,regular,2001-08-30T23:30:00.000Z,,false,false,33976,3980,Waldo Stadium,2711,Western Michigan,Mid-American,48,,,,2287,Illinois State,,7,,,,,,
212422084,2001,2,regular,2001-08-30T23:30:00.000Z,,false,false,22658,3965,UB Stadium,2084,Buffalo,Mid-American,15,,1005,988,164,Rutgers,Big East,31,,1221,1238,,,
212420008,2001,2,regular,2001-08-30T23:30:00.000Z,,false,false,52213,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,14,,1497,1500,2439,UNLV,Mountain West,10,,1501,1498,,,
212422459,2001,2,regular,2001-08-30T23:35:00.000Z,,false,false,14426,3764,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,20,,1512,1512,58,South Florida,FBS Independents,17,,1404,1404,,,
212420238,2001,2,regular,2001-08-31T00:00:00.000Z,,false,false,39885,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,28,,1434,1422,2393,Middle Tennessee,Sun Belt,37,,1511,1523,,,
212420005,2001,2,regular,2001-08-31T00:00:00.000Z,,false,false,20000,3803,Legion Field,5,UAB,Conference USA,41,,,,147,Montana State,,13,,,,,,
212420202,2001,2,regular,2001-08-31T00:00:00.000Z,,false,false,20839,,,202,Tulsa,Western Athletic,51,,,,282,Indiana State,,0,,,,,,
212420265,2001,2,regular,2001-08-31T02:00:00.000Z,,false,false,31097,3820,Martin Stadium,265,Washington State,Pac-10,36,,1403,1468,70,Idaho,Sun Belt,7,,1305,1240,,,
212420021,2001,2,regular,2001-08-31T02:05:00.000Z,,false,true,28386,3932,Qualcomm Stadium,21,San Diego State,Mountain West,10,,1425,1408,12,Arizona,Pac-10,23,,1558,1575,,,
212442572,2001,2,regular,2001-09-01T16:00:00.000Z,,false,false,25134,3815,M. M. Roberts Stadium,2572,Southern Mississippi,Conference USA,17,,1676,1671,197,Oklahoma State,Big 12,9,,1393,1398,,,
212440103,2001,2,regular,2001-09-01T16:00:00.000Z,,false,true,42482,3615,Alumni Stadium,103,Boston College,Big East,34,,1611,1664,277,West Virginia,Big East,10,,1552,1499,,,
212440120,2001,2,regular,2001-09-01T16:00:00.000Z,,false,true,44080,3665,Maryland Stadium,120,Maryland,ACC,23,,1480,1518,153,North Carolina,ACC,7,,1522,1484,,,
212440259,2001,2,regular,2001-09-01T16:00:00.000Z,,false,false,53662,3799,Lane Stadium,259,Virginia Tech,Big East,52,,1834,1873,41,Connecticut,FBS Independents,10,,1172,1133,,,
212442294,2001,2,regular,2001-09-01T16:10:00.000Z,,false,false,56091,3793,Kinnick Stadium,2294,Iowa,Big Ten,51,,1415,1532,2309,Kent State,Mid-American,0,,1141,1024,,,
212440158,2001,2,regular,2001-09-01T16:30:00.000Z,,false,false,77812,3834,Memorial Stadium,158,Nebraska,Big 12,42,,1982,2000,2653,Troy,FBS Independents,14,,1476,1458,,,
